underlying,expiry,strike,option_type,bid,ask,iv,open_interest,volume,trade_date
NVDA,2025-03-28,1005.0,put,123.98,129.62,0.210592,282,134,2025-03-04
AMZN,2025-03-21,200.0,put,6.02,6.19,0.203074,2268,110,2025-03-05
AMZN,2025-04-18,230.0,call,0.08,0.08,0.21076,461,52,2025-03-05
AMZN,2025-03-21,175.0,call,20.0,20.78,0.201364,164,29,2025-03-05
AMZN,2025-04-25,200.0,call,3.85,3.96,0.191278,162,53,2025-03-06
NVDA,2025-05-02,895.0,put,33.38,34.26,0.19503,1077,212,2025-03-07
AMZN,2025-04-11,230.0,call,0.01,0.01,0.18015,310,84,2025-03-07
GOOGL,2025-04-04,140.0,call,34.65,36.58,0.211155,1335,137,2025-03-03
GOOGL,2025-03-07,195.0,put,19.48,20.36,0.193299,452,151,2025-03-04
MSFT,2025-03-07,445.0,put,29.24,30.28,0.215202,304,40,2025-03-03
AAPL,2025-03-21,220.0,put,33.48,35.44,0.210382,788,133,2025-03-03
NVDA,2025-04-18,810.0,put,3.57,3.72,0.209194,569,225,2025-03-06
AAPL,2025-03-28,200.0,put,14.32,14.79,0.183672,1797,519,2025-03-03
AAPL,2025-04-11,200.0,call,1.11,1.15,0.220853,256,37,2025-03-03
GOOGL,2025-04-11,210.0,call,0.01,0.01,0.179875,232,55,2025-03-05
NVDA,2025-03-21,895.0,call,8.22,8.44,0.206434,46,1,2025-03-04
MSFT,2025-04-04,355.0,put,0.05,0.05,0.215926,205,30,2025-03-03
AAPL,2025-03-21,200.0,put,14.42,14.92,0.200193,1843,593,2025-03-04
AAPL,2025-04-11,165.0,call,20.49,21.25,0.189801,897,186,2025-03-07
AMZN,2025-03-14,210.0,put,14.51,14.98,0.208606,210,40,2025-03-03
NVDA,2025-03-28,875.0,put,15.8,16.31,0.19244,948,141,2025-03-03
AAPL,2025-03-07,200.0,put,14.71,15.24,0.222115,246,30,2025-03-06
NVDA,2025-04-18,965.0,call,2.2,2.29,0.18833,159,20,2025-03-04
GOOGL,2025-04-04,185.0,put,10.21,10.52,0.210699,360,151,2025-03-07
MSFT,2025-04-04,405.0,call,16.74,17.17,0.215664,851,116,2025-03-05
MSFT,2025-05-02,425.0,call,11.59,11.92,0.228617,4933,1533,2025-03-07
AMZN,2025-03-07,180.0,call,14.84,15.35,0.22783,671,87,2025-03-03
MSFT,2025-04-25,355.0,call,61.14,63.91,0.192787,58,5,2025-03-06
AAPL,2025-03-28,215.0,put,28.48,30.06,0.188872,818,34,2025-03-03
AMZN,2025-03-14,235.0,call,0.01,0.01,0.217818,830,109,2025-03-06
NVDA,2025-03-28,855.0,put,8.33,8.62,0.211507,1425,126,2025-03-07
GOOGL,2025-04-04,145.0,call,29.88,31.36,0.230619,266,48,2025-03-04
MSFT,2025-04-18,375.0,put,0.73,0.76,0.202575,789,171,2025-03-05
MSFT,2025-03-21,385.0,put,0.25,0.25,0.206162,235,11,2025-03-05
NVDA,2025-03-14,985.0,call,0.01,0.01,0.224116,30,15,2025-03-03
NVDA,2025-04-11,720.0,call,154.18,162.92,0.198932,526,238,2025-03-06
AMZN,2025-03-28,195.0,put,3.99,4.08,0.218796,7524,757,2025-03-04
AAPL,2025-04-04,215.0,put,28.41,29.73,0.176112,364,10,2025-03-03
NVDA,2025-04-18,810.0,call,72.48,74.79,0.209135,127,9,2025-03-05
AMZN,2025-03-07,155.0,call,38.94,41.23,0.233357,452,37,2025-03-03
NVDA,2025-04-11,875.0,put,18.67,19.16,0.192698,156,90,2025-03-06
NVDA,2025-03-07,875.0,put,4.04,4.15,0.227362,246,71,2025-03-06
NVDA,2025-04-04,720.0,put,0.01,0.01,6.820488,685,238,2025-03-06
NVDA,2025-04-04,965.0,put,85.58,89.54,0.213811,35,2,2025-03-04
MSFT,2025-04-18,490.0,call,0.08,0.09,0.199028,771,39,2025-03-07
NVDA,2025-03-28,895.0,put,26.58,27.23,0.195233,4627,1751,2025-03-06
AAPL,2025-03-21,170.0,put,0.11,0.11,0.227062,343,114,2025-03-05
AMZN,2025-03-28,170.0,put,0.01,0.01,0.215839,240,82,2025-03-07
MSFT,2025-03-21,445.0,call,0.41,0.42,0.216276,5777,3032,2025-03-07
NVDA,2025-03-07,830.0,put,0.12,0.12,0.237913,102,24,2025-03-03
AAPL,2025-03-21,195.0,call,0.6,0.62,0.220637,676,199,2025-03-05
MSFT,2025-04-11,490.0,call,0.09,0.09,0.207373,1045,286,2025-03-03
NVDA,2025-03-21,790.0,call,85.0,88.15,0.209607,196,41,2025-03-07
AAPL,2025-04-04,205.0,call,0.12,0.13,0.188799,506,262,2025-03-06
NVDA,2025-04-11,965.0,call,1.22,1.26,0.182988,666,138,2025-03-05
AMZN,2025-04-25,165.0,call,30.29,32.18,0.196569,1644,239,2025-03-03
AAPL,2025-03-07,210.0,put,24.4,25.54,0.203269,276,19,2025-03-06
GOOGL,2025-03-07,190.0,put,14.61,15.18,0.208227,1454,243,2025-03-03
AMZN,2025-03-14,165.0,put,0.01,0.01,0.242352,385,145,2025-03-06
AAPL,2025-03-21,195.0,call,0.0,0.8,0.225365,557,81,2025-03-03
GOOGL,2025-03-28,150.0,put,0.01,0.01,0.214212,32,6,2025-03-06
AMZN,2025-04-11,180.0,put,0.84,0.87,0.235773,9,3,2025-03-06
AAPL,2025-04-18,165.0,put,0.17,0.18,0.199133,517,166,2025-03-07
AMZN,2025-03-21,185.0,put,0.38,0.39,0.21052,704,63,2025-03-06
AMZN,2025-04-04,165.0,call,29.92,31.35,0.189321,696,144,2025-03-07
MSFT,2025-05-02,375.0,call,43.92,45.62,0.229634,86,17,2025-03-07
MSFT,2025-04-04,395.0,call,23.88,24.71,0.206747,102,24,2025-03-03
AAPL,2025-03-28,155.0,call,29.74,31.2,0.213694,279,159,2025-03-06
AMZN,2025-03-28,195.0,call,4.24,4.33,0.209336,2173,120,2025-03-06
AMZN,2025-03-14,205.0,put,9.82,10.1,0.217453,889,193,2025-03-06
AMZN,2025-03-14,195.0,put,2.55,2.61,0.23335,74,21,2025-03-06
GOOGL,2025-04-04,155.0,call,20.31,21.18,0.202298,2031,297,2025-03-03
AAPL,2025-03-07,160.0,put,0.01,0.01,0.230734,240,86,2025-03-04
MSFT,2025-04-18,395.0,put,3.8,3.93,0.210401,161,45,2025-03-04
AMZN,2025-05-02,185.0,put,1.66,1.72,0.19222,187,32,2025-03-07
AAPL,2025-03-21,160.0,call,24.82,25.89,0.2285,975,57,2025-03-05
AMZN,2025-04-11,195.0,call,4.85,4.96,0.184893,122,30,2025-03-07
GOOGL,2025-04-25,145.0,call,30.27,31.69,0.19343,734,141,2025-03-07
AMZN,2025-03-14,200.0,call,0.97,1.01,0.235155,106,18,2025-03-06
GOOGL,2025-03-21,140.0,put,0.01,0.01,0.241843,59,6,2025-03-03
MSFT,2025-03-14,415.0,put,5.81,6.02,0.21675,484,265,2025-03-03
AAPL,2025-04-18,155.0,call,30.24,31.75,0.202258,6370,1196,2025-03-03
MSFT,2025-03-21,375.0,put,0.08,0.09,0.223459,238,18,2025-03-05
GOOGL,2025-03-28,155.0,call,19.98,21.05,0.208353,182,16,2025-03-05
AAPL,2025-03-21,200.0,put,,14.98,0.215497,1784,181,2025-03-06
AAPL,2025-04-25,190.0,call,3.73,3.85,0.191446,231,60,2025-03-03
AAPL,2025-03-21,210.0,put,24.02,25.01,0.19298,54,20,2025-03-04
NVDA,2025-03-21,810.0,call,66.19,68.5,0.227943,4471,531,2025-03-06
GOOGL,2025-03-14,165.0,call,10.23,10.55,0.216367,53,21,2025-03-03
MSFT,2025-03-21,385.0,put,0.34,0.36,0.226782,35,12,2025-03-06
NVDA,2025-03-14,855.0,call,23.39,24.24,0.213568,97,3,2025-03-07
MSFT,2025-03-14,445.0,put,28.83,30.14,0.203902,1084,122,2025-03-03
NVDA,2025-04-04,745.0,put,0.04,0.04,0.202402,232,47,2025-03-03
AMZN,2025-04-04,185.0,call,11.73,12.13,0.218684,335,205,2025-03-05
AMZN,2025-04-18,155.0,put,0.01,0.01,0.213415,325,121,2025-03-06
NVDA,2025-03-21,720.0,call,152.81,160.15,0.241901,197,6,2025-03-06
AMZN,2025-03-28,180.0,call,15.55,16.08,0.211548,654,106,2025-03-05
NVDA,2025-03-07,895.0,call,1.18,1.21,0.22081,30,5,2025-03-04
AAPL,2025-03-28,195.0,put,9.95,10.3,0.195965,748,20,2025-03-06
NVDA,2025-04-18,700.0,put,0.01,0.01,0.207481,3525,1277,2025-03-03
GOOGL,2025-03-28,175.0,call,3.41,3.5,0.191551,911,41,2025-03-07
AMZN,2025-04-04,200.0,call,1.94,2.0,0.170821,361,96,2025-03-07
AMZN,2025-03-14,210.0,call,0.04,0.04,0.213566,1634,651,2025-03-05
NVDA,2025-03-07,830.0,call,44.3,45.93,0.227656,272,58,2025-03-06
AMZN,2025-03-28,225.0,call,0.01,0.01,0.204147,270,82,2025-03-05
MSFT,2025-04-25,475.0,call,0.38,0.4,0.186464,1175,244,2025-03-05
AAPL,2025-03-28,150.0,put,0.01,0.01,0.216794,133,46,2025-03-03
AMZN,2025-03-14,235.0,call,0.01,0.01,0.202016,370,93,2025-03-05
MSFT,2025-03-14,490.0,call,0.01,0.01,0.217985,2110,900,2025-03-06
AMZN,2025-03-28,205.0,call,0.82,0.86,0.196696,88,34,2025-03-06
GOOGL,2025-03-21,190.0,call,0.07,0.07,0.200278,2968,1953,2025-03-06
GOOGL,2025-03-21,145.0,call,29.55,31.0,0.237002,280,120,2025-03-07
NVDA,2025-03-21,965.0,call,0.29,0.3,0.228683,1256,15,2025-03-06
GOOGL,2025-03-21,145.0,put,0.01,0.01,0.226376,1225,56,2025-03-04
AMZN,2025-03-14,235.0,put,38.62,40.68,0.205598,681,132,2025-03-03
MSFT,2025-03-07,375.0,call,39.38,40.83,0.214958,215,68,2025-03-05
AAPL,2025-05-02,200.0,call,1.12,1.17,6.503604,1270,239,2025-03-07
GOOGL,2025-04-04,155.0,put,0.14,0.14,0.233076,426,98,2025-03-04
MSFT,2025-04-18,455.0,call,1.63,1.69,0.201735,164,60,2025-03-04
NVDA,2025-04-18,1030.0,put,145.07,152.22,0.176831,325,46,2025-03-03
NVDA,2025-05-02,920.0,call,12.31,12.66,0.197064,611,299,2025-03-07
MSFT,2025-03-28,445.0,call,0.92,0.95,0.20564,2013,225,2025-03-06
GOOGL,2025-03-21,160.0,put,0.07,0.07,0.223613,235,106,2025-03-05
AMZN,2025-03-14,190.0,put,1.02,1.06,0.22279,112,5,2025-03-03
NVDA,2025-03-28,765.0,call,110.16,115.25,0.210973,696,198,2025-03-03
MSFT,2025-03-28,385.0,call,31.21,32.47,0.20955,17,0,2025-03-05
MSFT,2025-03-07,405.0,call,9.96,10.22,0.224313,620,479,2025-03-06
AMZN,2025-04-18,225.0,call,0.12,0.13,0.201088,743,178,2025-03-06
MSFT,2025-04-25,375.0,call,42.72,44.24,0.196095,418,140,2025-03-05
AMZN,2025-03-21,170.0,call,24.79,25.86,0.212585,4000,390,2025-03-07
AAPL,2025-03-28,205.0,call,0.1,0.1,0.20444,194,62,2025-03-05
AAPL,2025-04-04,195.0,put,10.13,10.47,0.190328,2403,425,2025-03-03
GOOGL,2025-04-11,185.0,put,9.88,10.18,0.171893,164,57,2025-03-03
GOOGL,2025-03-07,160.0,put,0.01,0.01,0.22779,666,111,2025-03-06
MSFT,2025-04-18,395.0,put,3.28,3.38,0.195944,1339,19,2025-03-03
MSFT,2025-03-28,375.0,put,0.2,0.2,0.222267,1069,114,2025-03-07
AMZN,2025-04-11,195.0,put,4.7,4.82,0.212537,32,4,2025-03-05
MSFT,2025-03-07,475.0,put,57.82,61.79,0.215186,230,44,2025-03-04
AMZN,2025-04-11,165.0,put,0.02,0.02,0.210523,840,307,2025-03-04
AMZN,2025-03-07,165.0,put,0.01,0.01,0.232491,1099,244,2025-03-04
AAPL,2025-03-14,205.0,put,19.4,20.21,0.192744,215,17,2025-03-07
AAPL,2025-03-21,165.0,put,0.02,0.02,0.224124,544,166,2025-03-05
NVDA,2025-03-21,875.0,call,15.14,15.51,0.196822,2065,12,2025-03-05
AAPL,2025-03-07,185.0,call,1.27,1.3,0.229937,153,15,2025-03-05
GOOGL,2025-03-28,140.0,put,0.01,0.01,0.206248,1106,138,2025-03-06
MSFT,2025-04-04,490.0,put,71.09,74.65,0.191859,2605,490,2025-03-03
AMZN,2025-04-18,200.0,call,3.5,3.59,0.197602,386,76,2025-03-07
AMZN,2025-03-28,200.0,put,6.1,6.31,0.189039,254,61,2025-03-07
AMZN,2025-04-18,170.0,put,0.23,0.24,0.234921,968,212,2025-03-05
MSFT,2025-03-28,415.0,call,8.86,9.06,0.195363,83,7,2025-03-04
NVDA,2025-04-11,745.0,call,130.63,137.23,0.1947,873,195,2025-03-04
NVDA,2025-04-11,940.0,call,3.84,3.99,0.193265,2796,717,2025-03-05
AAPL,2025-03-14,160.0,put,0.01,0.01,0.224772,49,23,2025-03-03
AMZN,2025-05-02,165.0,call,30.62,32.0,0.194136,104,12,2025-03-07
NVDA,2025-04-04,1005.0,put,123.52,128.99,0.194893,1254,176,2025-03-07
AMZN,2025-04-11,225.0,put,28.2,29.48,0.18104,298,18,2025-03-03
MSFT,2025-04-11,375.0,put,0.55,0.57,0.203287,38,5,2025-03-04
AMZN,2025-04-25,155.0,call,40.02,42.19,0.212392,645,13,2025-03-04
GOOGL,2025-03-28,170.0,put,1.71,1.76,0.217781,565,2,2025-03-03
AMZN,2025-04-18,175.0,put,0.26,0.27,0.205445,1177,104,2025-03-07
MSFT,2025-04-04,445.0,call,1.45,1.5,0.201635,265,56,2025-03-06
AMZN,2025-04-04,175.0,call,20.34,21.38,0.193126,476,214,2025-03-03
AMZN,2025-03-14,205.0,call,0.22,0.23,0.215659,2625,1667,2025-03-05
GOOGL,2025-04-11,155.0,call,20.48,21.29,0.195231,125,40,2025-03-04
GOOGL,2025-03-21,175.0,put,3.01,3.08,0.215687,398,63,2025-03-04
NVDA,2025-04-18,920.0,put,48.5,50.89,0.206928,351,32,2025-03-07
AMZN,2025-03-07,185.0,put,0.01,0.01,0.205815,236,31,2025-03-06
AAPL,2025-04-04,220.0,call,0.01,0.01,0.200611,93,10,2025-03-06
AMZN,2025-04-11,160.0,call,34.8,36.73,0.183642,826,186,2025-03-07
MSFT,2025-03-07,355.0,call,58.67,61.43,0.221552,1339,766,2025-03-06
MSFT,2025-05-02,365.0,call,52.63,54.71,0.224524,1255,195,2025-03-07
NVDA,2025-03-21,1005.0,call,0.01,0.01,0.188698,8230,2799,2025-03-05
AAPL,2025-03-28,160.0,call,24.99,26.12,0.206078,258,25,2025-03-03
GOOGL,2025-04-25,165.0,call,12.49,12.87,0.213091,173,22,2025-03-05
AAPL,2025-03-14,170.0,call,14.93,15.47,0.228436,273,15,2025-03-06
MSFT,2025-03-07,445.0,call,0.01,0.01,0.218065,235,70,2025-03-03
AMZN,2025-04-18,180.0,call,16.3,17.1,0.204787,814,200,2025-03-07
MSFT,2025-03-28,490.0,put,71.54,75.11,0.185846,83,5,2025-03-03
GOOGL,2025-03-28,175.0,call,3.82,3.91,0.200156,311,92,2025-03-04
GOOGL,2025-04-04,205.0,put,28.48,29.83,0.210337,165,83,2025-03-04
AMZN,2025-03-21,215.0,put,19.23,19.95,0.201957,1098,95,2025-03-06
MSFT,2025-04-11,435.0,put,21.91,22.75,0.206301,582,17,2025-03-03
AMZN,2025-03-07,225.0,put,29.19,30.62,0.22241,1941,629,2025-03-04
NVDA,2025-04-25,720.0,put,0.11,0.11,0.215758,4487,1919,2025-03-06
NVDA,2025-03-28,1005.0,call,0.1,0.1,0.210347,1464,297,2025-03-04
MSFT,2025-03-28,355.0,call,59.79,62.36,0.217428,156,4,2025-03-06
NVDA,2025-04-25,895.0,put,31.06,31.95,0.181137,642,35,2025-03-03
AMZN,2025-04-18,215.0,call,0.57,0.59,0.194684,7187,2031,2025-03-04
AAPL,2025-04-04,170.0,put,0.4,0.41,0.22046,789,45,2025-03-05
AAPL,2025-04-18,200.0,put,14.27,14.75,0.178947,1466,117,2025-03-07
AAPL,2025-03-28,175.0,put,0.65,0.67,0.222672,120,33,2025-03-07
MSFT,2025-03-14,405.0,call,12.81,13.12,0.221967,263,20,2025-03-03
GOOGL,2025-03-14,160.0,call,14.92,15.44,0.216062,43,11,2025-03-06
AMZN,2025-04-18,160.0,put,0.03,0.03,0.238387,367,129,2025-03-05
GOOGL,2025-03-28,205.0,call,0.01,0.01,0.188473,4447,1431,2025-03-04
AMZN,2025-04-25,230.0,call,0.07,0.08,0.189025,133,73,2025-03-03
AMZN,2025-04-25,225.0,call,0.16,0.17,0.196088,1049,17,2025-03-07
NVDA,2025-03-14,1030.0,put,149.62,157.85,0.206575,695,115,2025-03-05
AMZN,2025-03-14,230.0,put,33.92,35.58,0.210026,1016,181,2025-03-06
MSFT,2025-04-25,425.0,call,8.74,8.96,0.189593,123,28,2025-03-03
AAPL,2025-04-18,150.0,call,34.96,36.76,0.199198,283,57,2025-03-07
AMZN,2025-04-18,185.0,put,1.5,1.55,0.202259,158,4,2025-03-04
AMZN,2025-03-14,225.0,put,29.08,30.43,0.218726,130,40,2025-03-06
NVDA,2025-03-28,745.0,call,129.47,135.67,0.212819,636,173,2025-03-03
GOOGL,2025-04-11,180.0,call,2.53,2.6,0.186342,2597,409,2025-03-03
AMZN,2025-04-04,210.0,call,0.81,0.84,0.217731,72,25,2025-03-05
AAPL,2025-04-25,165.0,put,0.27,0.28,0.195708,2375,530,2025-03-03
AAPL,2025-03-28,180.0,call,7.19,7.46,0.228157,835,83,2025-03-07
AAPL,2025-04-11,175.0,put,1.41,1.45,0.223412,446,11,2025-03-04
GOOGL,2025-04-11,190.0,call,0.7,0.73,0.213952,173,85,2025-03-07
MSFT,2025-04-11,405.0,put,4.98,5.14,0.190014,404,196,2025-03-04
NVDA,2025-04-11,920.0,call,6.56,6.83,0.191017,145,26,2025-03-07
AMZN,2025-03-07,175.0,call,19.68,20.42,0.208992,24,6,2025-03-05
NVDA,2025-04-11,700.0,put,0.01,0.01,0.215857,299,10,2025-03-05
NVDA,2025-03-14,940.0,put,63.02,65.08,0.215792,362,73,2025-03-05
AAPL,2025-03-21,170.0,call,15.11,15.85,0.209656,421,3,2025-03-04
AMZN,2025-04-18,170.0,call,25.63,26.8,0.227426,168,26,2025-03-05
AMZN,2025-04-18,170.0,put,0.1,0.11,0.200905,1387,222,2025-03-03
AAPL,2025-04-04,200.0,put,14.35,15.02,0.201394,3517,264,2025-03-07
NVDA,2025-03-14,790.0,put,0.04,0.04,0.234025,263,44,2025-03-04
AAPL,2025-03-28,195.0,call,0.84,0.87,0.198972,1510,502,2025-03-04
NVDA,2025-04-25,875.0,call,29.23,29.82,0.208714,4918,915,2025-03-07
GOOGL,2025-04-25,190.0,put,14.11,14.79,0.178617,109,11,2025-03-06
NVDA,2025-03-21,920.0,put,44.24,45.8,0.198222,1594,263,2025-03-07
MSFT,2025-04-25,405.0,call,18.65,19.2,0.190402,806,85,2025-03-06
GOOGL,2025-03-14,170.0,call,5.83,5.99,0.230056,298,165,2025-03-05
GOOGL,2025-04-11,205.0,call,0.02,0.02,0.189233,372,77,2025-03-06
MSFT,2025-04-25,405.0,call,19.75,20.47,6.640018,617,228,2025-03-04
AMZN,2025-03-28,180.0,call,15.62,16.13,0.205109,61,7,2025-03-03
AMZN,2025-03-14,160.0,call,34.25,36.14,0.222341,903,151,2025-03-05
AMZN,2025-03-28,190.0,call,7.63,7.82,0.221257,1136,105,2025-03-04
AMZN,2025-03-21,185.0,put,0.38,0.39,0.198645,3028,673,2025-03-04
NVDA,2025-03-07,875.0,call,7.28,7.48,0.227596,140,37,2025-03-04
MSFT,2025-03-07,435.0,put,19.57,20.14,0.225919,394,108,2025-03-04
MSFT,2025-03-07,375.0,call,39.33,40.77,0.217354,672,66,2025-03-06
AMZN,2025-04-18,175.0,call,21.01,21.83,0.214438,9374,2295,2025-03-05
NVDA,2025-03-28,790.0,put,0.47,0.49,0.210428,347,56,2025-03-03
MSFT,2025-03-14,365.0,call,49.42,51.48,0.216554,107,3,2025-03-05
AAPL,2025-03-14,170.0,call,14.92,15.41,0.208605,304,22,2025-03-07
GOOGL,2025-04-04,180.0,call,2.23,2.29,0.207552,348,74,2025-03-07
GOOGL,2025-04-11,205.0,call,0.01,0.01,0.175467,44,6,2025-03-03
AMZN,2025-04-11,215.0,call,0.38,0.39,0.193686,514,37,2025-03-04
AMZN,2025-04-25,200.0,put,7.35,7.56,0.184907,1288,628,2025-03-03
AMZN,2025-04-18,225.0,put,28.11,29.4,0.187929,667,300,2025-03-06
AMZN,2025-04-04,175.0,put,0.16,0.16,0.210688,37,8,2025-03-03
MSFT,2025-04-25,455.0,put,37.38,38.8,0.174543,148,35,2025-03-06
NVDA,2025-03-21,700.0,call,171.31,181.57,0.243226,343,83,2025-03-06
MSFT,2025-04-25,365.0,call,51.75,53.91,0.196874,547,83,2025-03-06
AAPL,2025-05-02,155.0,call,30.48,31.93,0.183122,84,8,2025-03-07
GOOGL,2025-03-21,160.0,call,15.25,15.78,0.230409,1234,305,2025-03-03
NVDA,2025-03-07,855.0,call,20.26,20.88,0.203343,1845,511,2025-03-05
AMZN,2025-03-14,180.0,put,0.01,0.01,0.2306,85,11,2025-03-07
NVDA,2025-03-28,765.0,put,0.14,0.15,0.227928,9,3,2025-03-04
AAPL,2025-03-21,150.0,put,0.01,0.01,0.235582,620,45,2025-03-05
GOOGL,2025-03-14,170.0,call,5.47,5.66,0.211529,928,34,2025-03-07
AAPL,2025-03-21,170.0,call,15.19,15.76,0.223853,2582,594,2025-03-05
GOOGL,2025-05-02,180.0,call,4.15,4.27,0.21241,1122,420,2025-03-07
MSFT,2025-03-21,340.0,call,73.68,77.81,0.212689,600,51,2025-03-05
GOOGL,2025-03-14,175.0,call,2.22,2.27,0.207932,116,17,2025-03-06
NVDA,2025-03-07,920.0,call,0.01,0.01,0.199571,176,83,2025-03-05
NVDA,2025-03-14,1030.0,call,0.01,0.01,0.221117,426,14,2025-03-03
NVDA,2025-04-18,810.0,put,3.81,3.94,0.210964,160,18,2025-03-05
AMZN,2025-03-14,155.0,put,0.01,0.01,0.248818,666,164,2025-03-06
GOOGL,2025-03-21,140.0,call,34.3,36.31,0.226846,785,318,2025-03-05
MSFT,2025-03-21,425.0,put,13.35,13.69,0.223212,154,24,2025-03-03
GOOGL,2025-04-18,150.0,call,25.45,26.53,0.200634,342,61,2025-03-03
AAPL,2025-03-28,200.0,call,0.24,0.24,0.196922,3385,1547,2025-03-06
GOOGL,2025-04-04,205.0,call,0.01,0.01,0.19581,392,28,2025-03-07
NVDA,2025-03-14,1030.0,put,149.79,158.23,0.195265,92,22,2025-03-07
